x,y,z
-0.02813841438293457,-0.05880117416381836,-0.05497307968139649
-0.02802408790588379,-0.05883782958984375,-0.05498515319824219
-0.028138307571411135,-0.058796924591064455,-0.054986515045166016
-0.02802408790588379,-0.05883782958984375,-0.05498515319824219
-0.028025030136108398,-0.058833641052246095,-0.054998577117919924
-0.028138307571411135,-0.058796924591064455,-0.054986515045166016
-0.0280166015625,-0.059535789489746097,-0.05628783416748047
-0.028125036239624025,-0.05955449676513672,-0.0563451042175293
-0.028131080627441407,-0.05954811477661133,-0.05633409118652344
-0.0280166015625,-0.059535789489746097,-0.05628783416748047
-0.028131080627441407,-0.05954811477661133,-0.05633409118652344
-0.028023921966552734,-0.059529617309570314,-0.05627749252319336
-0.028753644943237306,-0.05935282135009766,-0.056506771087646485
-0.028864843368530273,-0.05932297515869141,-0.05648736953735352
-0.028750707626342773,-0.059347179412841795,-0.05649419403076172
-0.028864843368530273,-0.05932297515869141,-0.05648736953735352
-0.028860475540161135,-0.059317272186279295,-0.05647524642944336
-0.028750707626342773,-0.059347179412841795,-0.05649419403076172
-0.027823293685913086,-0.059459346771240235,-0.056155948638916015
-0.027914737701416018,-0.05949792098999024,-0.05622959518432617
-0.02783306884765625,-0.059453956604003905,-0.0561473503112793
-0.027914737701416018,-0.05949792098999024,-0.05622959518432617
-0.027923469543457032,-0.05949238204956055,-0.05622002029418945
-0.02783306884765625,-0.059453956604003905,-0.0561473503112793
-0.029189496994018554,-0.058735664367675786,-0.05533088684082031
-0.029092458724975588,-0.0587156982421875,-0.055256309509277346
-0.029084081649780272,-0.058715415954589845,-0.05526763916015625
-0.029189496994018554,-0.058735664367675786,-0.05533088684082031
-0.029084081649780272,-0.058715415954589845,-0.05526763916015625
-0.029179885864257814,-0.05873645782470703,-0.055341159820556644
-0.027521726608276367,-0.05925188064575195,-0.05555794906616211
-0.027528774261474608,-0.05930378341674805,-0.05566067123413086
-0.027535457611083985,-0.05924900054931641,-0.055559272766113284
-0.027528774261474608,-0.05930378341674805,-0.05566067123413086
-0.02754248809814453,-0.059300724029541015,-0.05565959548950195
-0.027535457611083985,-0.05924900054931641,-0.055559272766113284
-0.027662811279296876,-0.05941489028930664,-0.0559734001159668
